year,imm
1998,95
1998,82
1998,95
1998,83
1998,82
1998,92
1998,53
1998,77
1998,55
1998,95
1998,85
1998,96
1998,96
1998,94
1998,93
1998,93
1998,81
1998,81
1998,87
1998,92
1998,31
1998,89
1998,84
1998,90
1998,60
1998,99
1998,94
1998,78
1998,67
1998,92
1998,99
1998,71
1998,97
1998,98
1998,80
1998,84
1998,67
1998,71
1998,65
1998,84
1998,89
1998,99
1998,95
1998,24
1998,68
1998,84
1998,54
1998,47
1998,96
1998,37
1998,20
1998,98
1998,78
1998,67
1998,20
1998,21
1998,83
1998,66
1998,91
1998,99
1998,89
1998,95
1998,91
1998,21
1998,98
1998,80
1998,89
1998,98
1998,99
1998,82
1998,79
1998,89
1998,92
1998,44
1998,77
1998,96
1998,56
1998,90
1998,73
1998,78
1998,89
1998,97
1998,79
1998,52
1998,61
1998,93
1998,53
1998,98
1998,99
1998,96
1998,99
1998,88
1998,77
1998,94
1998,88
1998,93
1998,99
1998,90
1998,77
1998,49
1998,99
1998,98
1998,71
1998,97
1998,83
1998,79
1998,92
1998,97
1998,92
1998,51
1998,90
1998,96
1998,98
1998,54
1998,60
1998,93
1998,62
1998,85
1998,82
1998,93
1998,99
1998,93
1998,91
1998,64
1998,89
1998,64
1998,90
1998,67
1998,81
1998,91
1998,35
1998,38
1998,96
1998,91
1998,98
1998,54
1998,74
1998,96
1998,63
1998,71
1998,93
1998,80
1998,97
1998,96
1998,89
1998,97
1998,72
1998,99
1998,99
1998,59
1998,62
1998,88
1998,93
1998,96
1998,99
1998,93
1998,66
1998,32
1998,79
1998,94
1998,99
1998,90
1998,99
1998,49
1998,82
1998,94
1998,87
1998,83
1998,72
1998,96
1998,40
1998,95
1998,90
1998,94
1998,99
1998,96
1998,50
1998,96
1998,95
1998,96
1998,95
1998,64
1998,92
1998,96
1998,66
1998,86
1998,79
1999,97
1999,88
1999,99
1999,84
1999,83
1999,92
1999,56
1999,77
1999,70
1999,95
1999,90
1999,94
1999,96
1999,97
1999,92
1999,95
1999,82
1999,82
1999,88
1999,92
1999,31
1999,85
1999,83
1999,97
1999,42
1999,99
1999,92
1999,65
1999,68
1999,86
1999,94
1999,71
1999,86
1999,98
1999,82
1999,82
1999,69
1999,77
1999,79
1999,83
1999,90
1999,94
1999,96
1999,36
1999,70
1999,85
1999,63
1999,46
1999,96
1999,37
1999,30
1999,94
1999,79
1999,69
1999,15
1999,23
1999,88
1999,57
1999,92
1999,96
1999,87
1999,97
1999,92
1999,23
1999,99
1999,83
1999,99
1999,96
1999,94
1999,51
1999,88
1999,92
1999,92
1999,37
1999,79
1999,96
1999,55
1999,90
1999,76
1999,81
1999,88
1999,94
1999,83
1999,40
1999,70
1999,87
